Keyword,Category
apple,apples
bacon,bacon
banana,bananas
beef,beef
bread,bread
butter,butter
cheese,cheese
coca,coca
coconut,coconut
cornbread,bread
cucumber,cucumber
egg,egg
fish,fish
grape,grape
kebabs,kebabs
ketchup,ketchup
kiwi,kiwi
loaf,bread
mango,mango
milk,milk
muffin,bread
muffuletta,bread
mustard,mustard
olive,olive
onion,onion
pear,pear
pepper,pepper
pepsi,pepsi
pork,pork
potatoes,potatoes
redbull,redbull
salad,salad
sausage,sausage
shrimps,shrimps
sloosh,bread
soft drink,soft drink
tofu,tofu
tomato,tomato
water,water
